Country,Happiness Rank,Happiness Score,Corruption,Human Development Index,Life Expectancy at Birth,Mean Years of Schooling,GDP Per Capita,Inequality in eduation,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Carbon dioxide emissions per capita (production) (tonnes),Year
Colombia,31,6.481,0.05399,0.759,76.4713,8.221500397,14044.84239,16.19259,0.427,84,1.935483121,2016
France,32,6.478,0.17808,0.895,82.4372,11.35085964,44814.41572,8.59672,0.092,8,5.158359374,2016
Thailand,33,6.474,0.02833,0.785,78.0489,8.315620422,15993.77762,16.58373,0.408,37,4.109455195,2016
Saudi Arabia,34,6.379,0.30008,0.864,77.0643,10.08080983,49681.68654,18.60202657,0.287,17,19.69755248,2016
Qatar,36,6.375,0.48049,0.85,80.4335,9.667340279,94985.79979,11.76445408,0.515,9,33.49433802,2016
Spain,37,6.361,0.06137,0.895,83.0411,10.01107979,38616.27705,18.56616,0.07,4,5.591568752,2016
Algeria,38,6.355,0.16157,0.743,75.7318,7.877038634,11707.07707,33.68956,0.428,113,3.67259156,2016
Guatemala,39,6.324,0.08701,0.639,72.3547,5.774713993,8028.858895,34.95493,0.513,98,1.019895223,2016
Kuwait,41,6.239,0.23669,0.833,79.7011,7.132780075,60888.65689,22.46443172,0.296,12,25.48948349,2016
Bahrain,42,6.218,0.25772,0.865,79.5569,9.322070122,45331.79071,17.439716,0.236,15,22.00377054,2016
Trinidad and Tobago,43,6.168,0.01241,0.815,74.281,11.23672288,26827.84272,9.71398,0.347,68,29.07474085,2016
Venezuela,44,6.084,0.08304,0.757,72.0578,10.31229973,14482.668,8.67058997,0.499,121,5.677379393,2016
Slovakia,45,6.078,0.02947,0.854,77.2146,12.71166039,28602.60814,1.43804,0.192,6,6.404976256,2016
El Salvador,46,6.068,0.10613,0.671,72.0248,6.717559814,7879.035883,25.07658318,0.377,47,1.04557119,2016
Malaysia,47,6.005,0.09081,0.803,75.2888,10.36651039,24841.45459,12.06360206,0.25,29,8.16566483,2016
Nicaragua,48,5.992,0.16292,0.653,73.2562,6.796,5535.711714,25.79903661,0.434,100,0.853858217,2016
Uzbekistan,49,5.987,0.28333,0.709,70.7548,11.67308998,6725.763449,0.724853929,0.286,29,3.440288679,2016
Italy,50,5.977,0.02556,0.887,83.0492,10.39278984,41115.42705,10.45736,0.075,2,5.902450354,2016
Ecuador,51,5.976,0.18037,0.762,76.7634,8.692919731,11334.76401,13.5816,0.376,61,2.395471598,2016
Belize,52,5.956,0.10771,0.712,73.3988,9.503048134,6766.32689,14.81278,0.41,39,1.690770901,2016
Japan,53,5.921,0.18985,0.921,84.0664,13.30426394,42421.08469,4.511,0.102,5,9.421471031,2016
Kazakhstan,54,5.919,0.11132,0.805,70.8984,11.9441363,22005.08356,3.16666,0.19,10,16.19019701,2016
Moldova,55,5.897,0.01903,0.756,69.9169,11.79195658,11540.90096,2.759083599,0.257,20,1.206022908,2016
Poland,57,5.835,0.055,0.872,77.8025,13.00481987,27466.79559,4.71453,0.132,2,8.537729914,2016
South Korea,57,5.835,0.07716,0.912,82.9259,12.21428586,39959.57395,8.836042338,0.086,11,12.53854951,2016
Bolivia,59,5.822,0.07746,0.701,67.6277,9.162832737,8056.443085,19.3384,0.43,161,2.066341945,2016
Lithuania,60,5.813,0.0182,0.868,74.8816,13.10509968,30786.23947,4.51676,0.138,8,4.620466044,2016
Belarus,61,5.802,0.17457,0.813,74.258,11.85758429,17070.03342,3.67781,0.121,3,6.336402932,2016
Slovenia,63,5.768,0.03635,0.91,81.1577,12.66755009,34095.07338,2.23706,0.057,7,6.954599582,2016
Peru,64,5.743,0.05292,0.765,75.789,9.314760208,11899.5399,15.33142,0.408,91,1.704696548,2016
Turkmenistan,65,5.658,0.28467,0.742,68.7774,11.15854538,14351.65759,3.55428,0.187,8,12.39126457,2016
Mauritius,66,5.648,0.05203,0.801,75.0114,9.666950539,22415.60786,21.91298205,0.391,67,3.443712283,2016
Latvia,68,5.56,0.0889,0.855,74.7535,12.93480968,27395.61007,3.7064,0.225,26,3.652142113,2016
Cyprus,69,5.546,0.05228,0.877,81.0563,12.08658028,35044.10672,11.7125,0.101,6,6.300702366,2016
Paraguay,70,5.538,0.07396,0.721,73.5336,8.351449966,11681.90319,13.43375,0.455,86,1.059742645,2016
Romania,71,5.528,0.00679,0.816,75.2458,11.08049011,24814.66283,6.32012,0.32,21,3.74576341,2016
Estonia,72,5.517,0.18519,0.885,77.8201,13.51035023,31594.42466,2.31246,0.126,11,13.34384091,2016
Jamaica,73,5.51,0.04294,0.712,72.0198,8.879589332,9152.259979,5.60595,0.379,80,2.808925359,2016
