Country,Happiness Score,Corruption,Happiness Rank,Human Development Groups,HDI Rank (2021),Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,Gender Development Index,Coefficient of human inequality,Inequality in life expectancy,Inequality in eduation,Inequality in income,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Material footprint per capita (tonnes),Carbon dioxide emissions per capita (production) (tonnes),Year
Serbia,5.77820015,0.843509018,64,Very High,63.0,0.804,75.4057,14.40009022,11.36987019,17665.40411,0.985,9.947416896,4.151490688,7.19484,18.49592,0.129,12.0,15.65,4.936885477,2020
Bolivia,5.747499943,0.822606206,65,Medium,118.0,0.694,64.4667,14.94697094,9.827750206,7756.177294,0.959,20.61476564,18.43809891,16.54294,26.863258,0.425,155.0,11.32,1.773319863,2020
Pakistan,5.69329977,0.745705426,66,Low,161.0,0.543,66.2695,8.658349991,4.536330223,4467.236365,0.809,29.40150078,27.44239235,43.52795,17.23416,0.535,140.0,3.45,1.062756182,2020
Paraguay,5.692100048,0.834788501,67,High,105.0,0.73,73.1816,12.98799113,8.861840248,12015.54396,0.986,18.4418548,11.73134041,13.15316,30.441064,0.446,84.0,18.93,1.061291226,2020
Dominican Republic,5.689199924,0.755999923,68,High,80.0,0.764,72.8894,14.46655802,9.306864107,16164.89952,1.015,19.46358622,17.71743965,15.04513,25.628189,0.434,95.0,9.54,2.559875589,2020
Bosnia and Herzegovina,5.674099922,0.933769107,69,High,74.0,0.781,76.2254,13.8,10.53631973,14381.63676,0.939,12.98339274,4.00090313,14.78890508,20.16037,0.138,10.0,14.44,6.528247977,2020
Moldova,5.607500076,0.913314283,70,High,80.0,0.766,70.1665,14.43299961,11.82159042,12822.36442,1.012,7.327202337,8.974290848,2.570094084,10.43722208,0.228,19.0,3.41,1.275891722,2020
Tajikistan,5.555699825,0.592076063,71,Medium,122.0,0.664,67.9942,11.65303618,11.3333938,4244.329789,0.908,12.42822471,16.77902412,6.03825,14.4674,0.287,17.0,5.75,0.990569475,2020
Montenegro,5.54610014,0.783121586,72,Very High,49.0,0.826,76.2575,15.08160973,12.17648306,18546.1188,0.977,9.249191071,3.008513212,7.81501,16.92405,0.126,6.0,,3.677798193,2020
Kyrgyzstan,5.541500092,0.888396084,74,Medium,118.0,0.689,69.6291,13.1953001,11.37410556,4494.5007,0.963,9.33376711,10.80646133,3.36425,13.83059,0.386,60.0,7.82,1.763865121,2020
Belarus,5.539899826,0.63571167,75,Very High,60.0,0.807,72.5132,15.16996956,12.14358044,18307.70473,1.013,5.284676219,3.436508656,2.77203,9.64549,0.104,2.0,5.59,6.07931383,2020
Greece,5.514999866,0.859931409,77,Very High,33.0,0.886,80.9092,20.02878952,11.40853024,26680.88796,0.967,10.66728119,3.626233578,11.73784,16.63777,0.119,3.0,15.17,5.01149663,2020
Croatia,5.504700184,0.916495264,79,Very High,40.0,0.855,77.9845,15.11209965,12.19108434,27185.25054,0.989,6.956418948,3.673586845,4.24197,12.9537,0.095,8.0,17.06,4.136637154,2020
Libya,5.488800049,0.668779135,80,High,104.0,0.703,72.4722,12.85428,7.599985,10630.28113,0.975,,8.409916878,,,0.259,72.0,16.08,7.381523009,2020
Mongolia,5.456200123,0.863511205,81,High,96.0,0.745,72.141,14.98034954,9.423700333,10626.79022,1.033,12.86875684,9.776360512,11.88363,16.94628,0.315,45.0,10.62,26.97802818,2020
Malaysia,5.384300232,0.839302301,82,Very High,62.0,0.806,75.9378,13.34304047,10.64505959,25940.44402,0.982,,6.102083206,12.06360206,,0.223,29.0,19.59,8.422647483,2020
Indonesia,5.285600185,0.876296401,84,High,114.0,0.709,68.8077,13.74889386,8.556509972,11141.56832,0.941,16.96487713,13.5273447,17.25001669,20.11727,0.447,177.0,6.77,2.155208427,2020
Ivory Coast,5.233300209,0.790771961,85,Medium,159.0,0.551,59.0318,10.67558002,5.199138977,5026.387169,0.886,34.51896547,30.9064064,45.60904,27.04145,0.619,617.0,3.26,0.381780097,2020
Benin,5.21600008,0.740532577,86,Low,166.0,0.524,60.088,10.76667976,4.304786445,3288.470605,0.877,36.33137334,33.32621002,43.69355,31.97436,0.609,397.0,3.4,0.552890326,2020
Maldives,5.197599888,0.824211061,87,High,90.0,0.734,79.8747,12.63560963,7.322,11773.26598,0.921,19.86994568,4.444457054,29.31948,25.8459,0.351,53.0,,3.32350373,2020
Azerbaijan,5.164800167,0.55253756,89,High,91.0,0.73,66.8679,13.49689007,10.5429697,13567.9371,0.977,8.360923077,12.65870762,3.56506161,8.859,0.301,26.0,10.56,3.720272365,2020
