Country,Happiness Rank,Happiness Score,Corruption,Human Development Groups,HDI Rank (2021),Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,Gender Development Index,Coefficient of human inequality,Inequality in life expectancy,Inequality in eduation,Inequality in income,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Material footprint per capita (tonnes),Carbon dioxide emissions per capita (production) (tonnes),Year
Libya,72,5.525,0.152,High,104.0,0.722,72.4634,12.85428,7.599985,15687.71125,0.985,,9.041166306,,,0.26,72.0,16.08,8.042698052,2019
Montenegro,73,5.523,0.08,Very High,49.0,0.837,77.0396,14.94519997,12.17648306,21772.62933,0.977,9.302679802,3.168979406,7.81501,16.92405,0.115,6.0,,4.211870628,2019
Tajikistan,74,5.467,0.144,Medium,122.0,0.676,70.8674,11.65303618,11.3333938,4155.953121,0.908,12.60297917,17.30328751,6.03825,14.4674,0.298,17.0,5.75,0.926304402,2019
Croatia,75,5.432,0.022,Very High,40.0,0.861,78.7376,15.11209965,12.19108434,28898.00521,0.989,7.542317072,3.582181215,4.67412,14.37065,0.119,8.0,17.06,4.304477346,2019
Hong Kong,76,5.43,0.287,Very High,4.0,0.952,85.2735,17.22212029,12.22620964,62717.72811,0.975,12.45552219,2.132227659,9.671619265,25.56271964,,,,5.61977334,2019
Dominican Republic,77,5.425,0.101,High,80.0,0.771,73.5767,14.46655802,9.306864107,17572.69314,1.013,19.60579368,18.14406204,15.04513,25.628189,0.443,95.0,9.54,2.562650864,2019
Bosnia and Herzegovina,78,5.386,0.006,High,74.0,0.783,77.2412,13.8,10.17434978,14849.1165,0.933,13.02798003,4.134665012,14.78890508,20.16037,0.146,10.0,14.44,7.527082702,2019
Turkey,79,5.373,0.106,Very High,48.0,0.842,77.8318,18.3382206,8.63313961,27984.86307,0.939,14.38859774,6.44363451,13.64287582,23.07928288,0.277,17.0,17.49,4.786608448,2019
Malaysia,80,5.339,0.024,Very High,62.0,0.81,75.7603,13.48631954,10.64505959,27678.64207,0.981,,6.109055996,12.06360206,,0.225,29.0,19.59,8.721791705,2019
Belarus,81,5.323,0.142,Very High,60.0,0.817,74.216,15.23906994,12.14358044,18702.53072,1.012,5.332946682,3.581320047,2.77203,9.64549,0.103,2.0,5.59,6.455760335,2019
Greece,82,5.287,0.034,Very High,33.0,0.889,81.2489,20.02878952,11.11997271,29102.85675,0.967,10.66638675,3.484550238,11.06794,17.44667,0.121,3.0,15.17,6.276429316,2019
Mongolia,83,5.285,0.038,High,96.0,0.746,71.8221,14.98034954,9.485507298,11098.9151,1.032,12.98818229,10.13463688,11.88363,16.94628,0.323,45.0,10.62,27.49975428,2019
North Macedonia,84,5.274,0.034,High,78.0,0.784,77.2928,13.62443234,10.05568314,15981.25068,0.945,10.64371277,4.405708313,8.36817,19.15726,0.134,7.0,12.29,3.827625118,2019
Nigeria,85,5.265,0.041,Low,163.0,0.538,52.9104,10.12758388,7.181074153,4971.470226,0.844,36.47063107,40.94513321,40.41507,28.05169,0.683,917.0,3.6,0.647401324,2019
Kyrgyzstan,86,5.261,0.023,Medium,118.0,0.698,71.2301,13.03588009,11.37410556,4750.777239,0.966,9.49040049,11.27636147,3.36425,13.83059,0.381,60.0,7.82,1.717293889,2019
Turkmenistan,87,5.247,0.028,High,91.0,0.742,69.0016,12.93278027,11.26139,13227.7665,0.957,16.53860537,20.46623611,2.94467,26.20491,0.18,7.0,13.13,12.8437154,2019
Algeria,88,5.211,0.114,High,91.0,0.748,76.4742,14.62689602,8.069284397,11241.86472,0.88,19.2974978,13.10467339,33.28262,11.5052,0.437,112.0,11.21,3.870617401,2019
Morocco,89,5.208,0.076,Medium,123.0,0.682,74.2705,13.95818996,5.916,7398.11725,0.858,25.34366935,11.65655804,41.87093,22.50352,0.432,70.0,6.95,1.870394606,2019
Azerbaijan,90,5.208,0.182,High,91.0,0.761,73.1023,13.47167015,10.5429697,13838.46183,0.956,8.21730195,12.22784424,3.56506161,8.859,0.314,26.0,10.56,3.854118915,2019
Lebanon,91,5.197,0.027,High,112.0,0.745,79.2359,11.28587,8.718636,14377.64877,0.908,,5.630833149,6.177,,0.432,29.0,12.4,3.888406647,2019
Indonesia,92,5.192,0.028,High,114.0,0.716,70.5184,13.74889386,8.359274864,11453.54855,0.939,17.12257831,14.00044823,17.25001669,20.11727,0.457,177.0,6.77,2.440988872,2019
China,93,5.191,0.1,High,79.0,0.762,77.968,14.2361149,7.600118446,15933.50035,0.984,14.97821948,5.863658428,11.68,27.391,0.203,29.0,21.96,7.31629792,2019
Bhutan,95,5.082,0.167,Medium,127.0,0.671,71.3909,13.22500478,5.170262283,10791.66865,0.941,27.91794566,15.57212067,48.22657529,19.95514103,0.423,183.0,32.43,2.525907754,2019
Cameroon,96,5.044,0.037,Medium,151.0,0.583,61.5839,13.10859922,6.151311543,3661.937532,0.882,32.23357694,29.99463081,31.71699,34.98911,0.57,529.0,2.13,0.285897796,2019
Bulgaria,97,5.011,0.004,High,68.0,0.81,75.0624,13.89729023,11.35635344,22731.96643,0.994,11.03607555,5.390096664,6.09875,21.61938,0.205,10.0,15.02,6.031683176,2019
Ghana,98,4.996,0.04,Medium,133.0,0.631,64.7401,11.86730957,8.329886695,5307.445765,0.942,27.66501437,23.7508831,35.10167,24.14249,0.536,308.0,3.92,0.556193047,2019
Ivory Coast,99,4.944,0.09,Medium,159.0,0.55,59.3185,10.48435974,5.199138977,5074.644595,0.878,34.78127168,31.69332504,45.60904,27.04145,0.621,617.0,3.26,0.407508101,2019
Nepal,100,4.913,0.089,Medium,143.0,0.611,69.5576,13.15132046,5.121792742,3994.226959,0.949,24.60647656,16.40390968,41.0992,16.31632,0.454,186.0,5.58,0.593053654,2019
Jordan,101,4.906,0.13,High,102.0,0.727,76.044,10.56050968,10.39878988,10072.72061,0.886,14.36587805,9.743924141,15.44186,17.91185,0.457,46.0,7.03,2.548582446,2019
Benin,102,4.883,0.082,Low,166.0,0.53,60.4537,11.22864723,4.304786445,3254.245627,0.877,36.5884051,34.0973053,43.69355,31.97436,0.61,397.0,3.4,0.619863266,2019
Gabon,104,4.799,0.055,High,112.0,0.709,66.6028,12.97731,9.436,13061.89403,0.903,21.78505993,20.66136169,23.47992,21.2138981,0.545,252.0,9.15,2.065609582,2019
South Africa,106,4.722,0.055,High,109.0,0.736,66.175,13.64371014,11.37316036,13366.47464,0.954,31.21606234,19.35805702,17.29413,56.996,0.41,119.0,7.55,8.12733368,2019
Albania,107,4.719,0.027,High,67.0,0.81,79.2825,14.81892014,11.28645502,13485.31124,1.002,10.58933697,6.255590916,12.33344,13.17898,0.156,15.0,12.96,1.688177757,2019
Venezuela,108,4.707,0.047,Medium,120.0,0.721,72.1614,12.81608,11.10727736,7045.248,0.988,13.85336448,11.88950348,8.67058997,21.0,0.492,125.0,9.6,3.477903448,2019
Cambodia,109,4.7,0.062,Medium,146.0,0.598,70.6923,11.46772,5.088,4123.001845,0.922,19.29921682,16.25069046,27.30485,14.34211,0.464,160.0,5.7,0.929794738,2019
Senegal,111,4.681,0.072,Low,170.0,0.513,68.5258,8.844010353,2.937938258,3267.668238,0.841,29.90898244,19.20764732,47.1353,23.384,0.532,315.0,4.09,0.691289173,2019
